,link,headline,summary,date
375,https://www.nytimes.com/video/multimedia/100000003492033/stocks-drop-21st-century-fox-earns-beat.html,Stocks drop; 21st Century Fox earns beat,Stocks took a hit as crude prices sank; Growth in cable and film drove profits at 21st Century Fox; YUM brands points to trouble in China; Under Armour buying MyFitnessPal. Bobbi Rebell reports.,
761,https://www.nytimes.com/video/multimedia/100000002875411/bskyb-in-talks-to-unite-europe-assets.html,BSkyB in talks to unite Europe assets,"British Sky Broadcasting says it is in early talks with Rupert Murdoch's 21st Century Fox over the possible acquisition of its pay-TV assets in Germany and Italy, Sky Deutschland and Sky Italia. Sonia Legg reports",
731,https://www.nytimes.com/video/business/100000003004232/time-warner-chief-on-murdochs-bid.html,Time Warner Chief on Murdoch’s Bid,"Jeffrey L. Bewkes, the chief of Time Warner, confirms the rejection of 21st Century Fox’s $80 billion bid in a video sent to employees and posted online.",
730,https://www.nytimes.com/video/business/100000003004082/next-steps-in-foxs-bid-for-time-warner.html,Next Steps in Fox’s Bid for Time Warner,Andrew Ross Sorkin says that 21st Century Fox’s $80 billion takeover bid for Time Warner Inc. “is just the beginning.”,
728,https://www.nytimes.com/video/business/100000003021180/media-mergers-and-diversity-of-opinion.html,Media Mergers and Diversity of Opinion,"James B. Stewart, a columnist for The New York Times, explores the antitrust concerns related to a potential deal between Time Warner Inc. and 21st Century Fox.",
630,https://www.nytimes.com/video/business/100000003040826/21st-century-fox-ends-time-warner-bid.html,James B. Stewart on Fox Ending Bid,"James B. Stewart, the Common Sense columnist for The New York Times, said that Rupert Murdoch’s decision to end his bid for Time Warner is surprising, but is good news for consumers.",
729,https://www.nytimes.com/video/multimedia/100000003041652/fox-slinks-off-sprint-put-on-hold.html,"Fox slinks off, Sprint put on hold","Two potential mega-mergers collapse as Rupert Murdoch's 21st Century Fox abandons its $80bn plan to buy Time Warner and Sprint surprises with a decision to drop its pursuit of T-Mobile U.S. Even so, the recent wave of deal-making could go on unabated. Hayley Platt reports.",
631,https://www.nytimes.com/video/business/100000003006062/hurdles-for-a-time-warner-deal.html,Hurdles for a Time Warner Deal,James Stewart of The New York Times says that Rupert Murdoch’s pursuit of of the biggest media deal in more than a decade faces tough regulatory hurdles.,
54,https://www.nytimes.com/video/business/dealbook/100000005605140/murdoch-speaks-on-the-fox-disney-merger.html,Murdoch Speaks on the Fox-Disney Merger,Disney's deal to buy most of 21st Century Fox's assets started with an informal chat at Rupert Murdoch's winery.,
912,https://www.nytimes.com/2013/06/18/business/media/dreamworks-and-netflix-in-deal-for-new-tv-programs.html,DreamWorks and Netflix in Deal for New TV Shows,"DreamWorks Animation will supply Netflix with a flood of new episodic TV programs inspired by characters from past DreamWorks franchises, which include “Shrek” and “The Croods.”",2013/06/18
819,https://www.nytimes.com/2013/07/10/business/media/senator-seeks-fcc-review-of-wwor-tvs-license.html,Senator Seeks F.C.C. Review of WWOR-TV’s License,United States Senator Robert Menendez of New Jersey urged the review after the station dropped its nightly newscast and replaced it with a tabloid-style magazine show.,2013/07/10
890,https://www.nytimes.com/2013/07/11/at-sun-valley-watching-to-see-if-the-chatter-is-more-than-idle-talk/,"At Sun Valley, Watching to See if the Chatter Is More Than Idle Talk",The Allen & Company media and technology conference is best known for the deals that have emerged from hush-hush meetings that take place in the ensuing months.,2013/07/11
849,https://www.nytimes.com/2013/07/13/business/media/owners-of-hulu-call-off-sale-and-plan-to-invest-750-million.html,"Hulu Owners Call Off Sale, Instead Pledging to Invest to Take On Rivals","The streaming-video Web site had been seeking bids for months. The owners — 21st Century Fox, the Walt Disney Company and NBCUniversal — instead decided not to sell.",2013/07/13
918,https://www.nytimes.com/2013/07/19/business/media/instead-of-a-sale-hulu-concentrates-on-the-awesomes.html,"Instead of a Sale, Hulu Concentrates on ‘The Awesomes’","To compete with Netflix, Hulu is expanding its original programming and creating an animated series.",2013/07/19
909,https://www.nytimes.com/2013/07/25/business/media/court-upholds-ruling-on-dish-networks-hopper.html,Court Upholds Ruling on Dish Network’s ‘Hopper’,The Ninth U.S. Circuit Court of Appeals affirmed a lower court’s ruling and lent further support to Dish’s ad-skipping digital video recorder.,2013/07/25
913,https://www.nytimes.com/2013/07/28/business/an-afghan-media-mogul-pushing-boundaries.html,"An Afghan Media Mogul, Pushing Boundaries","Saad Mohseni has brought soap operas, sitcoms and reality TV to his native country, Afghanistan, and with them a modicum of normalcy. Now he is looking to expand to Egypt, Libya and Iraq.",2013/07/28
919,https://www.nytimes.com/2013/07/30/business/media/wendi-murdoch-hires-a-new-lawyer-suggesting-a-divorce-is-getting-messy.html,"Wendi Murdoch Hires a New Lawyer, Suggesting a Divorce May Turn Messy","A month after Rupert Murdoch surprised his wife with divorce papers, Wendi Murdoch has hired a lawyer with a track record of representing women separating from powerful men.",2013/07/30
916,https://www.nytimes.com/2013/08/01/arts/television/the-awesomes-and-quick-draw-are-new-on-hulu.html,"Spoofy Heroes, Super and Otherwise, Join the Streaming Fray","“The Awesomes” and “Quick Draw,” two original series from Hulu, are among the latest shows available through streaming-video services.",2013/08/01
915,https://www.nytimes.com/2013/08/07/business/media/advance-ad-sales-for-new-tv-season-called-lukewarm.html,Advance Ad Sales for New TV Season Called Lukewarm,"The five broadcast networks sold an estimated $9 billion worth of commercial time before the season starts, about the same or a little less than last year’s sales.",2013/08/07
654,https://www.nytimes.com/2013/08/07/business/media/21st-century-fox-has-16-jump-in-revenue-on-higher-cable-fees.html,21st Century Fox Has 16% Jump in Revenue on Higher Cable Fees,Profits also soared in the latest quarter at the newly independent Fox entertainment arm.,2013/08/07
922,https://www.nytimes.com/2013/08/10/business/media/fox-may-produce-clinton-biopic-reviled-by-gop.html,Fox May Produce Clinton Biopic Reviled by G.O.P.,"NBC has come under heavy fire, especially from Republican critics, for agreeing to broadcast the series about Hillary Rodham Clinton, which may end up being produced by Fox Television Studios.",2013/08/10
926,https://www.nytimes.com/2013/08/15/arts/television/regis-philbins-talk-now-turns-to-sports.html,Regis Philbin’s Talk Now Turns to Sports,"Regis Philbin, who turns 82 this month, is about to host “Crowd Goes Wild,” a sports talk show on Rupert Murdoch’s new Fox Sports 1 network.",2013/08/15
847,https://www.nytimes.com/slideshow/2013/08/15/arts/television/20120915REGIS.html,Regis Philbin Returns to TV,"Regis Philbin’s talk show “Crowd Goes Wild” starts Monday on Fox Sports 1, a network from Rupert Murdoch’s 21st Century Fox.",2013/08/15
924,https://www.nytimes.com/2013/08/16/sports/fox-sports-1-an-espn-challenger-will-try-to-punch-above-its-weight.html,ESPN Challenger Will Try to Punch Above Its Weight,"Fox Sports 1 appears to be the stiffest competition for ESPN because of the resources of its parent and ambitions of its chairman, but it has a long way to go to match the ESPN empire.",2013/08/16
923,https://www.nytimes.com/2013/08/19/business/media/news-from-the-advertising-industry.html,News From the Advertising Industry,"Account assignments, executive appointments and miscellaneous news from advertising agencies.",2013/08/19
860,https://www.nytimes.com/2013/08/21/business/media/fox-news-confirms-the-firing-of-a-top-executive-who-was-once-close-to-ailes.html,Fox News Confirms the Firing of a Top Executive Who Was Once Close to Ailes,"The company initially declined to comment on reports that Roger Ailes, the chief executive, had fired Brian Lewis, one of his chief lieutenants.",2013/08/21
870,https://www.nytimes.com/2013/08/26/pageoneplus/corrections-august-26-2013.html,"Corrections: August 26, 2013","Corrections appearing in print on August 26, 2013.",2013/08/26
839,https://www.nytimes.com/2013/09/04/business/media/news-corporation-sells-group-of-local-publications.html,News Corp. Sells a Group of Small Local Publications,"The deal sends 33 local newspapers and magazines to the Fortress Investment Group, a private equity firm.",2013/09/04
899,https://thecaucus.blogs.nytimes.com/2013/09/10/business-leaders-tell-lawmakers-not-to-forget-about-immigration/,Business Leaders Tell Lawmakers Not to Forget About Immigration,"While Congress was preoccupied with Syria on Tuesday, more than 100 businesses, including some of the nation’s largest companies, sent a letter to leaders of the House of Representatives reminding them not to forget about immigration.",2013/09/10
861,https://www.nytimes.com/2013/09/11/money-manager-takes-big-stake-in-news-corp/,Money Manager Takes Big Stake in News Corp.,"Southeastern Asset Management, the money manager that fought the buyout of Dell, has taken a 12 percent voting stake in the News Corporation, making it the second-largest investor behind Rupert Murdoch.",2013/09/11
911,https://www.nytimes.com/2013/09/21/business/media/fox-contest-offers-30-second-super-bowl-pregame-ad-as-a-prize.html,Fox Contest Offers 30-Second Super Bowl Pregame Ad as a Prize,"The contest is meant to tap into public interest in the advertising for the game by using social media to pick a winner. The entry fee is $150,000, however.",2013/09/21
800,https://www.nytimes.com/2013/10/12/business/media/hulu-is-said-to-pick-a-new-chief-executive.html,Hulu Is Said to Pick a New Chief Executive,"The new leader of the streaming service would be Mike Hopkins, a veteran of Fox Networks with a focus on distribution as opposed to creating new content.",2013/10/12
597,https://www.nytimes.com/2013/11/06/business/media/tv-investments-drag-on-21st-century-fox-profits.html,Profits at 21st Century Fox Hampered by TV Investments,"The media company’s revenues surpassed Wall Street expectations, but profits were down in part because of the cost of starting two new channels.",2013/11/06
917,https://www.nytimes.com/2013/11/07/business/media/china-wants-its-movies-to-be-big-in-the-us-too.html,"China Wants Its Movies to Be Big in the U.S., Too","China’s ambitious new film entrepreneurs, dozens of whom gathered in California this week for industry events, want something that has largely eluded them: a homemade global hit.",2013/11/07
885,https://www.nytimes.com/2013/11/12/business/bskybs-shares-fall-after-bt-takes-over-champions-league.html,BSkyB’s Shares Fall After BT Takes Over Champions League,"Investors were concerned that subscribers would flee British Sky Broadcasting, which has built its subscriber base with soccer programming.",2013/11/12
864,https://www.nytimes.com/2013/11/12/business/media/news-corp-revenue-falls-well-short-of-forecasts.html,News Corp. Revenue Falls Well Short of Forecasts,"A steep drop in Australian newspapers took a toll on the company, in its first quarter since it was split from the more prosperous side of Rupert Murdoch’s empire.",2013/11/12
836,https://www.nytimes.com/2013/11/16/business/media/simpsons-reruns-sold-to-fxx-in-first-cable-deal.html,Streaming and Cable Deal for ‘The Simpsons’,"The series, which has more than 500 episodes, has been widely syndicated but not on cable TV. The price was expected to approach $1 billion.",2013/11/16
901,https://www.nytimes.com/2013/11/20/business/media/ahead-of-anniversary-brands-promote-all-things-kennedy.html,"Ahead of Anniversary, Promoting All Things Kennedy","As the 50th anniversary of President John F. Kennedy’s death nears, television stations and publishers are preparing promotions — some of which are raising eyebrows.",2013/11/20
883,https://www.nytimes.com/2013/11/20/business/media/murdoch-divorce-said-to-be-almost-final.html,Murdoch Divorce Said to Be Almost Final,A hearing on the dissolution of Rupert and Wendi Deng Murdoch’s 14-year marriage is scheduled for Wednesday morning in Manhattan.,2013/11/20
826,https://www.nytimes.com/2013/11/21/business/media/murdochs-reach-divorce-settlement.html,Rupert and Wendi Murdoch Reach a Divorce Settlement,"Rupert Murdoch, chairman of News Corporation and 21st Century Fox, and Wendi Deng Murdoch agreed to end their 14-year marriage.",2013/11/21
784,https://www.nytimes.com/2013/11/22/business/media/james-murdoch-joins-board-of-media-company-vice.html,James Murdoch Joins Board of Media Company Vice,"The appointment was part of a deal by 21st Century Fox, where Mr. Murdoch is an executive, to buy a 5 percent stake in Vice.",2013/11/22
880,https://www.nytimes.com/2013/11/26/sports/football/nfl-roundup.html,Super Bowl First: A U.S. Telecast With Spanish Announcers,"The Super Bowl, which has never before been televised in Spanish in the United States, will air on Fox Deportes.",2013/11/26
859,https://www.nytimes.com/2013/12/05/business/media/super-bowl-advertising-is-already-sold-out-fox-executives-say.html,"Super Bowl Advertising Is Already Sold Out, Fox Executives Say",Concluding ad sales nearly two months before kickoff is unusually early and is a sign of an improving economy and interest in a New York-area game.,2013/12/05
788,https://www.nytimes.com/2013/12/06/business/media/a-settlement-between-fox-news-and-a-former-top-executive-perhaps.html,A Settlement Between Fox News and a Former Top Executive? Perhaps,"The network has been silent on whether it has reached a settlement with Brian Lewis, the former close adviser to the Fox News chairman, Roger Ailes.",2013/12/06
904,https://www.nytimes.com/2013/12/15/fashion/rupert-murdoch-single-again-seems-to-need-dating-advice.html,Four Times a Charm?,"Three marriages behind him, Rupert Murdoch is once again available, and the single women in Los Angeles have taken notice.",2013/12/15
887,https://www.nytimes.com/2013/12/21/business/media/news-corp-acquires-storyful.html,News Corp. Buys a Media Start-Up for $25 Million,The deal is another example of how traditional news organizations are adapting to social media and adopting technologies like video.,2013/12/21
584,https://www.nytimes.com/2014/01/03/business/media/21st-century-fox-sells-stake-in-chinese-tv-company.html,21st Century Fox Sells Stake in Chinese TV Company,The move was the latest step that the company has taken to reduce its position in China.,2014/01/03
892,https://www.nytimes.com/2014/01/08/business/media/new-agency-a-spinoff-will-aim-its-message-at-a-hispanic-audience.html,"New Agency, a Spinoff, Will Aim Its Message at a Hispanic Audience","The JeffreyGroup, an agency known mainly for public relations, is creating a new agency to provide cross-cultural marketing to Hispanics.",2014/01/08
910,https://www.nytimes.com/2014/01/08/business/media/biography-casts-critical-light-on-fox-news-chief.html,Biography Casts Critical Light on Fox News Chief,A 560-page biography about Roger Ailes being published this month aims to be an exhaustive look at the television executive’s life and monumental career.,2014/01/08
886,https://www.nytimes.com/2014/01/09/pageoneplus/corrections-january-9-2013.html,"Corrections: January 9, 2014","Corrections appearing in print on January 9, 2014.",2014/01/09
908,https://www.nytimes.com/2014/01/11/business/media/supreme-court-to-hear-case-on-retransmission-of-tv-signals-by-aereo.html,Justices Take Case on Free TV Streaming,Broadcasters contend Aereo’s service violates copyright laws. The company says it is not covered by the relevant provisions of those laws.,2014/01/11
882,https://www.nytimes.com/2014/01/12/arts/television/american-idol-changes-its-judges-tempo-and-talent.html,‘Idol’ Tries to Clean Up Its Act,"Hoping to stabilize a sharp ratings decline for “American Idol,” Fox changes the judging panel, brings in a new director and promises stronger singing contestants.",2014/01/12
798,https://www.nytimes.com/2014/01/25/sports/baseball/the-mets-sign-matsuzaka-to-a-minor-league-deal.html,The Mets Sign Matsuzaka to a Minor League Deal,"The Mets will bring the Japanese right-hander Daisuke Matsuzaka to training camp, where he will compete for the fifth spot in the starting rotation.",2014/01/25
914,https://www.nytimes.com/2014/01/30/business/media/as-i-was-saying-about-web-journalism-a-bubble-or-a-lasting-business.html,"As I Was Saying About Web Journalism ... a Bubble, or a Lasting Business?",Ezra Klein’s decision to leave The Washington Post for Vox Media reflects the growing influence of new players in online journalism.,2014/01/30
888,https://www.nytimes.com/2014/01/31/sports/football/wind-simulator-fox-has-innovations-lined-up-for-super-bowl-broadcast.html,Wind Simulator? Fox Has Innovations Lined Up for Super Bowl Broadcast,Software that will be able to show the breezy patterns at MetLife Stadium is among the technologies Fox will use in covering Super Bowl XLVIII.,2014/01/31
879,https://www.nytimes.com/2014/02/06/business/media/early-start-to-upfronts-as-the-real-cast-meets-advertisers.html,"Early Start to Upfronts, as ‘The Real’ Cast Meets Advertisers","A multicultural talk show from Warner Bros, “The Real” was introduced to advertisers on Wednesday, the beginning of a season that hits its stride in May.",2014/02/06
753,https://www.nytimes.com/2014/02/07/business/media/quarterly-profit-tumbles-at-fox-but-revenue-growth-is-strong.html,"Profit Tumbles at Fox, but Cable Makes Gains",A loss of roughly $1 billion in income from discontinued operations in the year-earlier period accounted for much of the decline.,2014/02/07
920,https://www.nytimes.com/2014/02/17/business/media/punching-above-its-weight-upstart-netflix-pokes-at-hbo.html,"Punching Above Its Weight, Upstart Netflix Pokes at HBO","If there is a rivalry between the two, it is by many measures a mismatch. But that hasn’t stopped the salivation at the story line: Netflix, the Silicon Valley interloper, taking on HBO, the establishment player.",2014/02/17
838,https://www.nytimes.com/2014/02/21/business/media/murdoch-is-said-to-pay-57-million-for-condo.html,Murdoch Is Said to Pay $57 Million for Condo,"Recently divorced, Rupert Murdoch has bought the top four floors of One Madison, near Madison Square Park in Manhattan.",2014/02/21
905,https://www.nytimes.com/2014/02/24/business/media/accounts-and-people-of-note-in-the-advertising-industry.html,Accounts and People of Note in the Advertising Industry,National Geographic Channels will work with the New York office of We Are Social to expand social media marketing.,2014/02/24
891,https://www.nytimes.com/2014/03/26/morning-agenda-facebooks-2-billion-deal-for-oculus/,Facebook’s $2 Billion Deal for Oculus,"Facebook to buy Oculus, a maker of a virtual reality headset. | A likely heir is leaving JPMorgan Chase. | The maker of Candy Crush is set to trade on the N.Y.S.E. | The Murdochs take a step in succession planning.",2014/03/26
718,https://www.nytimes.com/2014/03/27/business/lachlan-murdoch-is-named-to-a-top-news-corp-position.html,"Putting 2 Sons in Top Posts, Murdoch Guards His Dynasty","Lachlan Murdoch became nonexecutive co-chairman of the News Corporation and 21st Century Fox, and James Murdoch became co-chief operating officer at 21st Century Fox.",2014/03/27
736,https://www.nytimes.com/2014/03/31/business/media/in-media-moguls-rarefied-realm-its-like-father-like-son.html,"In Media Moguls’ Rarefied Realm, It’s Like Father, Like Son",Even a cursory look at the media landscape suggests Rupert Murdoch is far from an outlier in wanting to see a property he built with his bare-knuckled hands land on his progeny.,2014/03/31
889,https://www.nytimes.com/2014/04/07/business/media/rio-2-and-vita-coco-kids-embark-on-a-partnership.html,‘Rio 2’ and Vita Coco Kids Embark on a Partnership,The coconut water drink company is among more than a dozen brands that have “Rio 2” promotion deals with 20th Century Fox and Blue Sky Studios.,2014/04/07
815,https://www.nytimes.com/2014/04/09/business/media/imax-selling-20-percent-of-its-china-business.html,Imax Selling 20 Percent of Its China Business,"After making an $80 million investment, China Media Capital and FountainVest Partners will help the unit, China Imax, complete a public offering.",2014/04/09
921,https://www.nytimes.com/2014/04/13/business/executive-pay-invasion-of-the-supersalaries.html,Executive Pay: Invasion of the Supersalaries,"The compensation of corporate chief executives, up again in 2013, is drawing more scorn as an engine of income inequality.",2014/04/13
872,https://www.nytimes.com/2014/04/15/opinion/ceo-pay-goes-up-up-and-away.html,"C.E.O. Pay Goes Up, Up and Away!",So much for getting executive compensation under control.,2014/04/15
795,https://www.nytimes.com/2014/04/16/james-murdoch-joins-board-of-advertising-start-up/,James Murdoch Joins Board of Advertising Start-Up,"The appointment comes as True[X], a venture capital-backed start-up, refreshes its board, bringing in industry expertise as it grows.",2014/04/16
925,https://www.nytimes.com/2014/04/17/morning-agenda-a-big-day-for-earnings/,A Big Day for Earnings,Profit drops at Goldman Sachs but rises at Morgan Stanley. | Blackstone earnings rise 30 percent. | Weibo poised to begin trading. | James Murdoch joins the board of an advertising start-up. | Hedge fund titans buy the Milwaukee Bucks.,2014/04/17
878,https://www.nytimes.com/2014/04/23/business/media/at-stake-in-the-aereo-case-is-how-we-watch-tv.html,At Stake in the Aereo Case Is How We Watch TV,"The case has a little bit of everything, including the first big test at the Supreme Court of who owns and has rights to things stored in the cloud.",2014/04/23
850,https://www.nytimes.com/2014/04/28/business/media/accounts-and-people-of-note-in-the-advertising-industry.html,Accounts and People of Note in the Advertising Industry,Mall of America picks an agency for a rebranding campaign and the Tennessee tourism department selected a new agency of record.,2014/04/28
868,https://www.nytimes.com/2014/05/03/business/media/news-corp-to-acquire-harlequin-enterprises.html,Bodice-Ripper in New Hands,"Harlequin, owned by the Canadian media company Torstar Corporation, is among the world’s largest publishers of romance novels, consistently one of America’s most popular genres.",2014/05/03
722,https://www.nytimes.com/2014/05/08/business/media/cable-fees-and-football-help-profits-climb-at-fox.html,Cable Fees and Football Help Profits Climb at Fox,"The Super Bowl, new digital streaming TV deals and higher fees for its cable networks resulted in a stronger-than-expected gain in quarterly profit at 21st Century Fox.",2014/05/08
809,https://www.nytimes.com/2014/05/12/bskyb-in-talks-to-buy-foxs-pay-tv-assets-in-italy-and-germany/,BSkyB in Talks to Buy Fox’s Pay-TV Assets in Italy and Germany,A deal would give British Sky Broadcasting control of Sky Deutschland and Sky Italia and allow it to create a Pan-European satellite provider.,2014/05/12
881,https://www.nytimes.com/2014/05/12/business/media/accounts-and-people-of-note-in-the-advertising-industry.html,Accounts and People of Note in the Advertising Industry,"Four movie industry directors and producers opened the production company Bullitt, and the chief of HBO will be given the Media Person of the Year award at Cannes.",2014/05/12
862,https://www.nytimes.com/2014/05/20/sports/looking-for-a-sure-thing-in-the-belmont-stakes-bet-on-nbc.html,Looking for a Sure Thing in the Belmont Stakes? Bet on NBC,"With California Chrome striving to win the first Triple Crown in 36 years, the network will be a winner no matter the outcome.",2014/05/20
894,https://www.nytimes.com/2014/05/22/a-hedge-fund-highflier-comes-back-to-earth/,A Hedge Fund Highflier Comes Back to Earth,"Crispin Odey, whose hedge fund’s fortunes have risen and fallen in recent years, drew attention with extravagant plans for a chicken coop.",2014/05/22
902,https://www.nytimes.com/2014/06/10/morning-agenda-a-closer-look-at-ubers-valuation/,Morning Agenda: A Closer Look at Uber’s Valuation,Uber might well be worth its whopping valuation. | Time Warner is said to be seeking a big stake in Vice Media. | How Tyson won a short but furious bidding war for Hillshire. | Wealthy entrepreneurs represent a potential gold mine for financial advisers.,2014/06/10
799,https://www.nytimes.com/2014/06/10/business/media/time-warner-said-to-seek-big-stake-in-vice-media.html,Time Warner Said to Seek a Big Stake in Vice Media,Time Warner and Vice Media are said to be in negotiations that could lead to a $1 billion deal and give Vice a television network.,2014/06/10
893,https://www.nytimes.com/2014/06/16/business/news-from-the-advertising-industry.html,News From the Advertising Industry,"Account assignments, miscellaneous news from advertising agencies and more.",2014/06/16
828,https://www.nytimes.com/2014/06/16/business/media/fox-expects-3-avatar-sequels-to-be-worth-the-wait.html,"For Fox, Much Is Riding on 3 Sequels to ‘Avatar’","The long-awaited screenplays for James Cameron’s three “Avatar” sequels will soon be ready, probably within weeks.",2014/06/16
906,https://www.nytimes.com/2014/06/23/morning-agenda-path-clear-for-g-e-s-alstom-deal/,Morning Agenda: Path Clear for G.E.’s Alstom Deal,G.E.’s Alstom bid wins the day. | A judge excludes evidence in the case of a former Goldman Sachs programmer. | AbbVie is the latest American multinational to attempt a so-called inversion. | Mergers often destroy shareholder value.,2014/06/23
829,https://www.nytimes.com/2014/06/23/business/media/vice-has-many-media-giants-salivating-but-its-terms-will-be-rich.html,"Vice Has Many Media Giants Salivating, but Its Terms Will Be Rich","Disney, 21st Century Fox and Time Warner are all seeking a piece of Vice Media, and its young, coveted audience.",2014/06/23
844,https://www.nytimes.com/2014/06/24/pageoneplus/corrections-june-24-2014.html,"Corrections: June 24, 2014","Corrections appearing in print on June 24, 2014.",2014/06/24
853,https://www.nytimes.com/2014/06/25/business/media/nbc-completes-upfront-sales-as-cw-nears-finish-line.html,NBC Completes Upfront Sales as CW Nears Finish Line,NBC executives said Tuesday that they achieved their growth targets for the sale of commercial time before the start of the 2014-15 television season.,2014/06/25
823,https://www.nytimes.com/2014/06/26/business/daily-stock-market-activity.html,Media Stocks Climb After Aereo Defeat,Many broadcasters saw a rise in stock prices after the Supreme Court ruled in their favor in the case against Aereo.,2014/06/26
813,https://www.nytimes.com/2014/06/27/business/media/fox-joins-network-brethren-in-wrapping-up-its-upfront-ad-sales.html,Fox Joins Network Brethren in Wrapping Up Its ‘Upfront’ Ad Sales,"All five big English-language broadcasters have now completed, or are winding up, sales of commercial time before the 2014-15 television season.",2014/06/27
688,https://www.nytimes.com/2014/06/30/business/media/news-corp-slowly-putting-phone-hacking-scandal-behind-it.html,News Corp. Slowly Putting Phone-Hacking Scandal Behind It,"The acquittal of Rebekah Brooks, the most senior executive charged in a phone-hacking case in Britain, is the latest development in the company’s apparent recovery.",2014/06/30
796,https://www.nytimes.com/2014/07/07/business/media/news-from-the-advertising-industry.html,News From the Advertising Industry,"Account assignments, miscellaneous news from advertising agencies and more.",2014/07/07
858,https://www.nytimes.com/2014/07/07/business/media/for-tv-marketers-no-more-lazy-days-of-summer.html,A Deluge of New Summer Programs Has TV Marketers Scrambling,New broadcast and cable shows and new episodes of streaming video series have made the summer a busy time for advertisers on traditional and social media.,2014/07/07
832,https://www.nytimes.com/2014/07/10/the-talk-of-sun-valley-its-not-just-about-deals/,The Talk of Sun Valley (It’s Not Just About Deals),"Education, national service and creativity were among the topics of discussion at the annual Allen & Company conference.",2014/07/10
486,https://www.nytimes.com/2014/07/15/business/media/dana-walden-and-gary-newman-to-lead-new-fox-television-group.html,21st Century Fox Melds Its Television Broadcasting and Studio Units,"Dana Walden and Gary Newman, who have led 20th Century Fox Television for the last 15 years, will head up the new group as joint chairmen and C.E.O.s.",2014/07/15
856,https://www.nytimes.com/2014/07/16/morning-agenda-murdoch-pursues-time-warner/,Morning Agenda: Murdoch Pursues Time Warner,21st Century Fox is said to have offered $80 billion for Time Warner. | The danger of arbitration clauses. | Yahoo to retain more of its Alibaba stake after I.P.O. | Goldman Sachs and JPMorgan Chase second-quarter earnings exceeded analyst expectations.,2014/07/16
749,https://www.nytimes.com/2014/07/16/looking-back-on-a-decade-of-murdoch-deals/,Reflecting on a Decade of Murdoch Deals,"A deal for Time Warner would be Rupert Murdoch’s biggest deal ever, and it would cap a long career of audacious deal-making that built and reshaped his media juggernaut.",2014/07/16
723,https://www.nytimes.com/2014/07/16/to-reassure-time-warner-employees-bewkes-takes-to-the-small-screen/,"To Reassure Time Warner Employees, Bewkes Takes to the Small Screen",The chief executive of Time Warner put out a short video to employees explaining the company’s decision to reject 21st Century Fox’s takeover offer.,2014/07/16
655,https://www.nytimes.com/2014/07/16/rupert-murdoch-said-to-have-made-offer-for-time-warner/,Murdoch Puts Time Warner on His Wish List,"Time Warner says it is better off remaining independent, but pressure from its shareholders could ultimately spur talks on a potential merger of the media conglomerates.",2014/07/16
701,https://www.nytimes.com/2014/07/16/money-alone-wont-secure-time-warner-for-murdoch/,Money Alone Won’t Secure Time Warner for Murdoch,"To win the battle for Time Warner, Rupert Murdoch will need to consider converting 21st Century Fox into a one-vote, one-share company, Rob Cox of Reuters Breakingviews writes.",2014/07/16
720,https://www.nytimes.com/2014/07/16/music-holdings-are-noticeably-absent-in-proposed-fox-time-warner-merger/,Music Holdings Are Noticeably Absent in Proposed Fox-Time Warner Merger,Neither 21st Century Fox nor Time Warner has owned record companies in recent years as the industry has been shaken up by digital technology.,2014/07/16
877,https://www.nytimes.com/2014/07/16/us/your-evening-briefing.html,Your Evening Briefing,Your nightly briefing is ready for you.,2014/07/16
673,https://www.nytimes.com/2014/07/17/rupert-murdoch-may-be-heading-for-a-pyrrhic-victory/,Murdoch May Be Heading for a Pyrrhic Victory,"The debt of a combined 21st Century Fox-Time Warner would be four times earnings before interest, taxes, depreciation and amortization, after accounting for synergies – higher than most peers, Robert Cyran of Reuters Breakingviews writes.",2014/07/17
726,https://www.nytimes.com/2014/07/17/business/media/in-modern-media-realm-big-mergers-are-a-bulwark-against-rivals.html,"In Modern Media Realm, Big Mergers Are a Bulwark Against Rivals","Comcast’s bold strategy of acquisition kicked off a wave of defensive consolidation, fueled by a combination of fear and abundant capital in the media industry.",2014/07/17
765,https://www.nytimes.com/2014/07/17/business/daily-stock-market-activity.html,Merger Possibilities and Earnings Inspire the Market,"News of a partnership between IBM and Apple, and an offer from 21st Century Fox to take over Time Warner, boosted markets to another high.",2014/07/17
750,https://www.nytimes.com/2014/07/17/business/media/a-potential-combination-of-two-of-hollywoods-most-successful-studios.html,A Potential Combination of Two of Hollywood’s Most Successful Studios,"In Rupert Murdoch’s bid for Time Warner, he proposed joint management of 20th Century Fox and Warner Bros., a combination that would account for more than a third of all domestic movie ticket sales.",2014/07/17
770,https://www.nytimes.com/2014/07/17/morning-agenda-murdoch-sets-sights-on-time-warner/,Morning Agenda: Murdoch Sets Sights on Time Warner,"Time Warner rejected Rupert Murdoch’s $80 billion takeover bid, but Mr. Murdoch is known for getting what he wants. | Bank of America’s settlement talks with the Justice Department have hit a snag. | Treasury Secretary Jacob J. Lew is urging an end to so-called inversions.",2014/07/17
690,https://www.nytimes.com/2014/07/17/liberty-global-to-buy-stake-in-british-broadcaster-itv/,Liberty Global to Buy Stake in British Broadcaster ITV,"Liberty Global, which has spent billions of dollars to acquire several cable businesses in Europe, is buying the 6.4 percent stake in ITV from BSkyB for about $824 million.",2014/07/17
