fdate,cik,findexdate,form,coname,fsize,doccount,sec_full_path
1994-01-12,0000813828,1994-03-31,8-K,VIACOM INC,321676.0,7.0,https://www.sec.gov/Archives/edgar/data/813828/0000950112-94-000048.txt
1994-03-18,0000813828,1994-03-31,8-K,VIACOM INC,6853.0,2.0,https://www.sec.gov/Archives/edgar/data/813828/0000950112-94-000708.txt
1994-03-28,0000813828,1994-03-31,8-K,VIACOM INC,174266.0,4.0,https://www.sec.gov/Archives/edgar/data/813828/0000950112-94-000829.txt
1994-03-31,0000813828,1994-03-31,10-K,VIACOM INC,1503909.0,19.0,https://www.sec.gov/Archives/edgar/data/813828/0000950112-94-000847.txt
1994-05-20,0000813828,1994-06-30,10-Q,VIACOM INC,92999.0,3.0,https://www.sec.gov/Archives/edgar/data/813828/0000950112-94-001418.txt
1994-07-07,0000813828,1994-07-07,8-K,VIACOM INC,14325.0,3.0,https://www.sec.gov/Archives/edgar/data/813828/0000950112-94-001852.txt
1994-07-22,0000813828,1994-07-22,8-K,VIACOM INC,482752.0,7.0,https://www.sec.gov/Archives/edgar/data/813828/0000950112-94-001937.txt
1994-08-15,0000813828,1994-08-15,10-Q,VIACOM INC,120197.0,3.0,https://www.sec.gov/Archives/edgar/data/813828/0000950112-94-002141.txt
1994-09-01,0000813828,1994-09-01,8-K,VIACOM INC,16400.0,3.0,https://www.sec.gov/Archives/edgar/data/813828/0000950112-94-002323.txt
1994-09-21,0000813828,1994-09-21,8-K,VIACOM INC,11791.0,3.0,https://www.sec.gov/Archives/edgar/data/813828/0000950112-94-002512.txt
1994-09-29,0000813828,1994-09-29,8-K,VIACOM INC,300935.0,5.0,https://www.sec.gov/Archives/edgar/data/813828/0000950112-94-002602.txt
1994-10-18,0000813828,1994-10-18,8-K,VIACOM INC,5460.0,1.0,https://www.sec.gov/Archives/edgar/data/813828/0000950112-94-002723.txt
1994-11-21,0000813828,1994-11-21,10-Q,VIACOM INC,218067.0,3.0,https://www.sec.gov/Archives/edgar/data/813828/0000950112-94-002972.txt
1994-12-15,0000813828,1994-12-15,8-K,VIACOM INC,30937.0,5.0,https://www.sec.gov/Archives/edgar/data/813828/0000813828-94-000004.txt
1995-01-24,0000813828,1995-01-24,8-K,VIACOM INC,9729.0,2.0,https://www.sec.gov/Archives/edgar/data/813828/0000813828-95-000004.txt
1995-03-15,0000813828,1995-03-31,8-K,VIACOM INC,6829.0,2.0,https://www.sec.gov/Archives/edgar/data/813828/0000813828-95-000007.txt
1995-04-14,0000813828,1995-04-14,8-K,VIACOM INC,401108.0,4.0,https://www.sec.gov/Archives/edgar/data/813828/0000950112-95-001038.txt
1995-05-08,0000813828,1995-05-08,8-K,VIACOM INC,10551.0,2.0,https://www.sec.gov/Archives/edgar/data/813828/0000813828-95-000011.txt
1995-05-15,0000813828,1995-05-15,10-Q,VIACOM INC,82552.0,3.0,https://www.sec.gov/Archives/edgar/data/813828/0000950112-95-001322.txt
1995-06-29,0000813828,1995-06-29,8-K,VIACOM INC,5630.0,2.0,https://www.sec.gov/Archives/edgar/data/813828/0000813828-95-000014.txt
1995-07-26,0000813828,1995-07-26,8-K,VIACOM INC,13692.0,2.0,https://www.sec.gov/Archives/edgar/data/813828/0000813828-95-000018.txt
1995-08-14,0000813828,1995-09-30,10-Q,VIACOM INC,171864.0,5.0,https://www.sec.gov/Archives/edgar/data/813828/0000950112-95-002129.txt
1995-09-29,0000813828,1995-09-29,8-K,VIACOM INC,7155.0,2.0,https://www.sec.gov/Archives/edgar/data/813828/0000813828-95-000023.txt
1995-11-14,0000813828,1995-11-14,10-Q,VIACOM INC,119280.0,3.0,https://www.sec.gov/Archives/edgar/data/813828/0000950112-95-002965.txt
1995-12-15,0000813828,1995-12-15,8-K,VIACOM INC,409495.0,7.0,https://www.sec.gov/Archives/edgar/data/813828/0000950112-95-003231.txt
1996-01-18,0000813828,1996-01-18,8-K,VIACOM INC,15458.0,2.0,https://www.sec.gov/Archives/edgar/data/813828/0000813828-96-000003.txt
1996-04-01,0000813828,1996-04-01,10-K,VIACOM INC,944572.0,12.0,https://www.sec.gov/Archives/edgar/data/813828/0000950112-96-001003.txt
1996-05-15,0000813828,1996-05-15,10-Q,VIACOM INC,109882.0,4.0,https://www.sec.gov/Archives/edgar/data/813828/0000950112-96-001503.txt
1996-07-19,0000813828,1996-07-19,8-K,VIACOM INC,7118.0,2.0,https://www.sec.gov/Archives/edgar/data/813828/0000950109-96-004538.txt
1996-08-01,0000813828,1996-08-01,8-K,VIACOM INC,84809.0,14.0,https://www.sec.gov/Archives/edgar/data/813828/0000940180-96-000319.txt
1996-08-14,0000813828,1996-08-14,10-Q,VIACOM INC,382509.0,5.0,https://www.sec.gov/Archives/edgar/data/813828/0000950112-96-002875.txt
1996-11-14,0000813828,1996-11-14,10-Q,VIACOM INC,123160.0,3.0,https://www.sec.gov/Archives/edgar/data/813828/0001005477-96-000483.txt
1997-02-18,0000813828,1997-02-18,8-K,VIACOM INC,8141.0,2.0,https://www.sec.gov/Archives/edgar/data/813828/0000813828-97-000002.txt
1997-03-31,0000813828,1997-03-31,10-K,VIACOM INC,1043907.0,10.0,https://www.sec.gov/Archives/edgar/data/813828/0001005477-97-000969.txt
1997-05-15,0000813828,1997-05-15,10-Q,VIACOM INC,127240.0,4.0,https://www.sec.gov/Archives/edgar/data/813828/0001005477-97-001477.txt
1997-08-14,0000813828,1997-08-14,10-Q,VIACOM INC,152088.0,5.0,https://www.sec.gov/Archives/edgar/data/813828/0000912057-97-028062.txt
1997-09-23,0000813828,1997-09-23,8-K,VIACOM INC,8233.0,2.0,https://www.sec.gov/Archives/edgar/data/813828/0000813828-97-000008.txt
1997-11-14,0000813828,1997-11-14,10-Q,VIACOM INC,134940.0,3.0,https://www.sec.gov/Archives/edgar/data/813828/0001005477-97-002579.txt
1998-05-15,0000813828,1998-05-15,10-Q,VIACOM INC,110303.0,4.0,https://www.sec.gov/Archives/edgar/data/813828/0001047469-98-020669.txt
1998-08-14,0000813828,1998-08-14,10-Q,VIACOM INC,346514.0,5.0,https://www.sec.gov/Archives/edgar/data/813828/0001047469-98-031632.txt
1998-11-16,0000813828,1998-11-16,10-Q,VIACOM INC,167355.0,5.0,https://www.sec.gov/Archives/edgar/data/813828/0001047469-98-041208.txt
1998-12-14,0000813828,1998-12-14,8-K,VIACOM INC,39446.0,2.0,https://www.sec.gov/Archives/edgar/data/813828/0001047469-98-043893.txt
1999-05-17,0000813828,1999-05-17,10-Q,VIACOM INC,121255.0,3.0,https://www.sec.gov/Archives/edgar/data/813828/0001005477-99-002475.txt
1999-05-18,0000813828,1999-05-18,8-K,VIACOM INC,117690.0,3.0,https://www.sec.gov/Archives/edgar/data/813828/0000813828-99-000009.txt
1999-06-24,0000813828,1999-06-24,8-K,VIACOM INC,10784.0,3.0,https://www.sec.gov/Archives/edgar/data/813828/0000813828-99-000011.txt
1999-08-03,0000813828,1999-08-03,10-Q,VIACOM INC,174479.0,5.0,https://www.sec.gov/Archives/edgar/data/813828/0001005477-99-003338.txt
1999-09-08,0000813828,1999-09-08,8-K,VIACOM INC,556956.0,8.0,https://www.sec.gov/Archives/edgar/data/813828/0000947871-99-000402.txt
1999-10-12,0000813828,1999-10-12,8-K,VIACOM INC,357036.0,2.0,https://www.sec.gov/Archives/edgar/data/813828/0000947871-99-000457.txt
1999-11-15,0000813828,1999-11-15,10-Q,VIACOM INC,210038.0,5.0,https://www.sec.gov/Archives/edgar/data/813828/0000940180-99-001400.txt
2000-05-04,0000813828,2000-05-04,8-K,VIACOM INC,12113.0,2.0,https://www.sec.gov/Archives/edgar/data/813828/0000947871-00-000345.txt
2000-05-12,0000813828,2000-05-12,10-Q,VIACOM INC,166890.0,8.0,https://www.sec.gov/Archives/edgar/data/813828/0000950130-00-002874.txt
2000-08-03,0000813828,2000-08-03,8-K,VIACOM INC,151331.0,5.0,https://www.sec.gov/Archives/edgar/data/813828/0000912057-00-034341.txt
2000-08-14,0000813828,2000-08-15,10-Q,VIACOM INC,715280.0,7.0,https://www.sec.gov/Archives/edgar/data/813828/0000950130-00-004524.txt
2000-08-15,0000813828,2000-08-15,8-K,VIACOM INC,8728.0,2.0,https://www.sec.gov/Archives/edgar/data/813828/0000947871-00-000540.txt
2000-10-31,0000813828,2000-10-31,8-K,VIACOM INC,151506.0,3.0,https://www.sec.gov/Archives/edgar/data/813828/0000947871-00-000684.txt
2000-11-03,0000813828,2000-11-03,8-K,VIACOM INC,15102.0,2.0,https://www.sec.gov/Archives/edgar/data/813828/0000891092-00-001015.txt
2000-11-14,0000813828,2000-11-15,10-Q,VIACOM INC,221174.0,5.0,https://www.sec.gov/Archives/edgar/data/813828/0000950130-00-006113.txt
2000-12-04,0000813828,2000-12-04,8-K,VIACOM INC,31562.0,2.0,https://www.sec.gov/Archives/edgar/data/813828/0000813828-00-000008.txt
2001-01-05,0000813828,2001-01-05,8-K,VIACOM INC,10054.0,2.0,https://www.sec.gov/Archives/edgar/data/813828/0000947871-01-000005.txt
2001-01-08,0000813828,2001-01-08,8-K,VIACOM INC,6855.0,2.0,https://www.sec.gov/Archives/edgar/data/813828/0000947871-01-000010.txt
2001-02-15,0000813828,2001-02-15,8-K,VIACOM INC,30353.0,2.0,https://www.sec.gov/Archives/edgar/data/813828/0000950130-01-000922.txt
2001-02-21,0000813828,2001-02-21,8-K,VIACOM INC,160235.0,2.0,https://www.sec.gov/Archives/edgar/data/813828/0000950130-01-000970.txt
2001-03-28,0000813828,2001-03-29,10-K,VIACOM INC,1590820.0,11.0,https://www.sec.gov/Archives/edgar/data/813828/0000950130-01-500372.txt
2001-05-14,0000813828,2001-05-14,10-Q,VIACOM INC,208453.0,3.0,https://www.sec.gov/Archives/edgar/data/813828/0000950130-01-501623.txt
2001-05-30,0000813828,2001-05-30,8-K,VIACOM INC,8097.0,3.0,https://www.sec.gov/Archives/edgar/data/813828/0000813828-01-500006.txt
2001-06-01,0000813828,2001-06-01,8-K,VIACOM INC,7242.0,2.0,https://www.sec.gov/Archives/edgar/data/813828/0000947871-01-500160.txt
2001-07-03,0000813828,2001-07-03,8-K,VIACOM INC,445109.0,4.0,https://www.sec.gov/Archives/edgar/data/813828/0000947871-01-500292.txt
2001-07-27,0000813828,2001-07-27,8-K,VIACOM INC,28612.0,2.0,https://www.sec.gov/Archives/edgar/data/813828/0000947871-01-500388.txt
2001-08-14,0000813828,2001-08-14,10-Q,VIACOM INC,165644.0,1.0,https://www.sec.gov/Archives/edgar/data/813828/0000950130-01-503902.txt
2001-09-20,0000813828,2001-09-20,8-K,VIACOM INC,9169.0,2.0,https://www.sec.gov/Archives/edgar/data/813828/0000813828-01-500022.txt
2001-11-14,0000813828,2001-11-14,10-Q,VIACOM INC,184274.0,1.0,https://www.sec.gov/Archives/edgar/data/813828/0000950130-01-505390.txt
2002-02-13,0000813828,2002-02-13,8-K,VIACOM INC,4136.0,1.0,https://www.sec.gov/Archives/edgar/data/813828/0000813828-02-000019.txt
2002-04-26,0000813828,2002-04-26,8-K,VIACOM INC,91279.0,3.0,https://www.sec.gov/Archives/edgar/data/813828/0000813828-02-000037.txt
2002-05-14,0000813828,2002-05-14,10-Q,VIACOM INC,477649.0,2.0,https://www.sec.gov/Archives/edgar/data/813828/0000912057-02-020123.txt
2002-05-16,0000813828,2002-05-16,8-K,VIACOM INC,3979.0,1.0,https://www.sec.gov/Archives/edgar/data/813828/0000813828-02-000040.txt
2002-08-14,0000813828,2002-08-14,8-K,VIACOM INC,12103.0,5.0,https://www.sec.gov/Archives/edgar/data/813828/0000813828-02-000067.txt
2002-08-14,0000813828,2002-08-14,10-Q,VIACOM INC,634074.0,3.0,https://www.sec.gov/Archives/edgar/data/813828/0000912057-02-031808.txt
2002-08-29,0000813828,2002-08-29,8-K,VIACOM INC,93518.0,3.0,https://www.sec.gov/Archives/edgar/data/813828/0000813828-02-000071.txt
2002-11-14,0000813828,2002-11-14,10-Q,VIACOM INC,739071.0,5.0,https://www.sec.gov/Archives/edgar/data/813828/0000912057-02-042460.txt
2003-03-20,0000813828,2003-03-20,8-K,VIACOM INC,76430.0,4.0,https://www.sec.gov/Archives/edgar/data/813828/0000947871-03-000703.txt
2003-03-27,0000813828,2003-03-27,10-K,VIACOM INC,2325128.0,16.0,https://www.sec.gov/Archives/edgar/data/813828/0001047469-03-010441.txt
2003-04-22,0000813828,2003-04-22,8-K,VIACOM INC,10985.0,2.0,https://www.sec.gov/Archives/edgar/data/813828/0000813828-03-000202.txt
2003-04-22,0000813828,2003-04-22,8-K,VIACOM INC,102320.0,2.0,https://www.sec.gov/Archives/edgar/data/813828/0001047469-03-014034.txt
2003-04-23,0000813828,2003-04-23,8-K,VIACOM INC,5557.0,2.0,https://www.sec.gov/Archives/edgar/data/813828/0000813828-03-000210.txt
2003-05-15,0000813828,2003-05-15,8-K,VIACOM INC,123456.0,4.0,https://www.sec.gov/Archives/edgar/data/813828/0000947871-03-001215.txt
2003-05-15,0000813828,2003-05-15,10-Q,VIACOM INC,547633.0,5.0,https://www.sec.gov/Archives/edgar/data/813828/0001047469-03-018924.txt
2003-05-22,0000813828,2003-05-22,8-K,VIACOM INC,5990.0,2.0,https://www.sec.gov/Archives/edgar/data/813828/0000813828-03-000214.txt
